,#,open_score,close_score,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),shift_close,PC_open,PC_close
2015-11-02,0,0.0,0.39,477.8,479.85,473.1,476.8,478.25,10316509.0,49203.84,475.4,2.400000000000034,-0.44999999999998863
2015-11-04,1,0.0,-0.81,480.0,480.1,470.6,471.7,472.5,6319148.0,29964.18,474.65,5.350000000000023,7.5
2015-11-10,2,0.0,-0.15,463.0,473.5,462.25,468.25,468.35,7040567.0,33029.33,464.95,-1.9499999999999886,-5.350000000000023
2016-02-17,4,-0.13,-0.46,406.9,406.9,394.75,403.95,403.1,10197761.0,40875.3,405.8,1.099999999999966,3.7999999999999545
2016-02-24,5,0.0,0.01,385.0,391.0,377.25,388.0,386.65,11983475.0,46109.21,385.15,-0.14999999999997726,-1.6499999999999773
2016-02-26,6,-0.57,-0.57,385.0,390.3,382.15,386.4,386.35,9588881.0,37077.62,378.2,6.800000000000011,-1.3500000000000227
2016-03-04,8,-0.38,-0.52,418.15,418.15,409.25,417.5,416.05,8992492.0,37252.24,417.15,1.0,2.099999999999966
2016-03-08,9,-0.13,-0.13,415.6,423.05,408.8,411.3,411.75,6921273.0,28715.96,416.05,-0.44999999999998863,3.8500000000000227
2016-03-09,10,-0.66,-0.66,409.0,418.2,407.5,416.5,416.85,8437253.0,35042.79,411.75,-2.75,-7.850000000000023
2016-03-10,11,-0.25,-0.4,417.5,420.0,410.6,412.55,413.0,5631550.0,23328.63,416.85,0.6499999999999773,4.5
2016-03-11,12,-0.25833333333333336,-0.18000000000000002,413.85,421.95,408.25,412.9,412.8,8348484.0,34648.93,413.0,0.8500000000000227,1.0500000000000114
2016-03-14,13,0.5,0.5,417.6,422.25,413.1,416.5,415.45,6963673.0,29060.85,412.8,4.800000000000011,2.150000000000034
2016-03-15,14,-0.21,-0.21,417.5,421.75,416.1,418.8,418.85,8188560.0,34318.8,415.45,2.0500000000000114,-1.3500000000000227
2016-03-16,15,-0.96,-0.96,419.0,426.35,411.0,425.9,424.6,8290044.0,34694.21,418.85,0.14999999999997726,-5.600000000000023
2016-03-17,16,-0.11,-0.425,430.0,435.0,425.5,426.65,428.15,11080947.0,47693.12,424.6,5.399999999999977,1.8500000000000227
2016-03-30,17,-0.35999999999999993,0.01,433.3,445.7,432.1,444.0,444.25,9551121.0,41980.56,429.45,3.8500000000000227,-10.949999999999989
2016-04-11,18,-0.73,-0.73,423.9,431.9,417.5,430.1,429.8,6221772.0,26454.77,421.6,2.2999999999999545,-5.900000000000034
